fips,NAME,income
16067,"Minidoka County, Idaho",63594
16069,"Nez Perce County, Idaho",65023
16071,"Oneida County, Idaho",67383
16073,"Owyhee County, Idaho",58440
16075,"Payette County, Idaho",62721
16077,"Power County, Idaho",56671
16079,"Shoshone County, Idaho",44807
16081,"Teton County, Idaho",88906
16083,"Twin Falls County, Idaho",61183
16085,"Valley County, Idaho",72878
16087,"Washington County, Idaho",50046
17001,"Adams County, Illinois",63767
17003,"Alexander County, Illinois",40365
17005,"Bond County, Illinois",58617
17007,"Boone County, Illinois",80502
17009,"Brown County, Illinois",64760
17011,"Bureau County, Illinois",64165
17013,"Calhoun County, Illinois",88059
17015,"Carroll County, Illinois",61539
17017,"Cass County, Illinois",64826
17019,"Champaign County, Illinois",61090
17021,"Christian County, Illinois",56933
17023,"Clark County, Illinois",65874
17025,"Clay County, Illinois",58028
17027,"Clinton County, Illinois",78054
17029,"Coles County, Illinois",53732
17031,"Cook County, Illinois",78304
17033,"Crawford County, Illinois",64163
17035,"Cumberland County, Illinois",71274
17037,"DeKalb County, Illinois",68617
17039,"De Witt County, Illinois",61823
17041,"Douglas County, Illinois",67177
17043,"DuPage County, Illinois",107035
17045,"Edgar County, Illinois",56687
17047,"Edwards County, Illinois",60784
17049,"Effingham County, Illinois",73181
17051,"Fayette County, Illinois",51962
17053,"Ford County, Illinois",58930
17055,"Franklin County, Illinois",51031
17057,"Fulton County, Illinois",57223
17059,"Gallatin County, Illinois",51868
17061,"Greene County, Illinois",58900
17063,"Grundy County, Illinois",89993
17065,"Hamilton County, Illinois",60574
17067,"Hancock County, Illinois",61026
17069,"Hardin County, Illinois",53026
17071,"Henderson County, Illinois",64946
17073,"Henry County, Illinois",66313
17075,"Iroquois County, Illinois",62866
17077,"Jackson County, Illinois",44847
17079,"Jasper County, Illinois",67429
17081,"Jefferson County, Illinois",58384
17083,"Jersey County, Illinois",77607
17085,"Jo Daviess County, Illinois",67729
17087,"Johnson County, Illinois",63295
17089,"Kane County, Illinois",96400
17091,"Kankakee County, Illinois",65489
17093,"Kendall County, Illinois",106358
17095,"Knox County, Illinois",50263
17097,"Lake County, Illinois",104553
17099,"LaSalle County, Illinois",67942
17101,"Lawrence County, Illinois",55811
17103,"Lee County, Illinois",64588
17105,"Livingston County, Illinois",68175
17107,"Logan County, Illinois",62547
17109,"McDonough County, Illinois",48904
17111,"McHenry County, Illinois",100101
17113,"McLean County, Illinois",75356
17115,"Macon County, Illinois",59622
17117,"Macoupin County, Illinois",64706
17119,"Madison County, Illinois",71759
17121,"Marion County, Illinois",59099
17123,"Marshall County, Illinois",64940
17125,"Mason County, Illinois",58479
17127,"Massac County, Illinois",57365
17129,"Menard County, Illinois",84846
17131,"Mercer County, Illinois",67028
17133,"Monroe County, Illinois",100685
17135,"Montgomery County, Illinois",61796
17137,"Morgan County, Illinois",61188
17139,"Moultrie County, Illinois",72833
17141,"Ogle County, Illinois",75782
17143,"Peoria County, Illinois",63409
17145,"Perry County, Illinois",56338
17147,"Piatt County, Illinois",81151
17149,"Pike County, Illinois",55514
17151,"Pope County, Illinois",57582
